sample_id,audio_path,original_file,genre,start_sec,shape
29,data\processed\audio\sample_0029.npy,blues.00094.wav,blues,3.0,"(128, 259)"
30,data\processed\audio\sample_0030.npy,blues.00094.wav,blues,4.5,"(128, 259)"
31,data\processed\audio\sample_0031.npy,blues.00094.wav,blues,6.0,"(128, 259)"
32,data\processed\audio\sample_0032.npy,blues.00094.wav,blues,7.5,"(128, 259)"
33,data\processed\audio\sample_0033.npy,blues.00094.wav,blues,9.0,"(128, 259)"
34,data\processed\audio\sample_0034.npy,blues.00094.wav,blues,10.5,"(128, 259)"
35,data\processed\audio\sample_0035.npy,blues.00094.wav,blues,12.0,"(128, 259)"
36,data\processed\audio\sample_0036.npy,blues.00035.wav,blues,0.0,"(128, 259)"
37,data\processed\audio\sample_0037.npy,blues.00035.wav,blues,1.5,"(128, 259)"
38,data\processed\audio\sample_0038.npy,blues.00035.wav,blues,3.0,"(128, 259)"
39,data\processed\audio\sample_0039.npy,blues.00035.wav,blues,4.5,"(128, 259)"
40,data\processed\audio\sample_0040.npy,blues.00035.wav,blues,6.0,"(128, 259)"
41,data\processed\audio\sample_0041.npy,blues.00035.wav,blues,7.5,"(128, 259)"
42,data\processed\audio\sample_0042.npy,blues.00035.wav,blues,9.0,"(128, 259)"
43,data\processed\audio\sample_0043.npy,blues.00035.wav,blues,10.5,"(128, 259)"
44,data\processed\audio\sample_0044.npy,blues.00035.wav,blues,12.0,"(128, 259)"
45,data\processed\audio\sample_0045.npy,blues.00031.wav,blues,0.0,"(128, 259)"
46,data\processed\audio\sample_0046.npy,blues.00031.wav,blues,1.5,"(128, 259)"
47,data\processed\audio\sample_0047.npy,blues.00031.wav,blues,3.0,"(128, 259)"
48,data\processed\audio\sample_0048.npy,blues.00031.wav,blues,4.5,"(128, 259)"
49,data\processed\audio\sample_0049.npy,blues.00031.wav,blues,6.0,"(128, 259)"
50,data\processed\audio\sample_0050.npy,blues.00031.wav,blues,7.5,"(128, 259)"
51,data\processed\audio\sample_0051.npy,blues.00031.wav,blues,9.0,"(128, 259)"
52,data\processed\audio\sample_0052.npy,blues.00031.wav,blues,10.5,"(128, 259)"
53,data\processed\audio\sample_0053.npy,blues.00031.wav,blues,12.0,"(128, 259)"
54,data\processed\audio\sample_0054.npy,blues.00028.wav,blues,0.0,"(128, 259)"
55,data\processed\audio\sample_0055.npy,blues.00028.wav,blues,1.5,"(128, 259)"
56,data\processed\audio\sample_0056.npy,blues.00028.wav,blues,3.0,"(128, 259)"
57,data\processed\audio\sample_0057.npy,blues.00028.wav,blues,4.5,"(128, 259)"
58,data\processed\audio\sample_0058.npy,blues.00028.wav,blues,6.0,"(128, 259)"
59,data\processed\audio\sample_0059.npy,blues.00028.wav,blues,7.5,"(128, 259)"
60,data\processed\audio\sample_0060.npy,blues.00028.wav,blues,9.0,"(128, 259)"
61,data\processed\audio\sample_0061.npy,blues.00028.wav,blues,10.5,"(128, 259)"
62,data\processed\audio\sample_0062.npy,blues.00028.wav,blues,12.0,"(128, 259)"
63,data\processed\audio\sample_0063.npy,blues.00017.wav,blues,0.0,"(128, 259)"
64,data\processed\audio\sample_0064.npy,blues.00017.wav,blues,1.5,"(128, 259)"
65,data\processed\audio\sample_0065.npy,blues.00017.wav,blues,3.0,"(128, 259)"
66,data\processed\audio\sample_0066.npy,blues.00017.wav,blues,4.5,"(128, 259)"
67,data\processed\audio\sample_0067.npy,blues.00017.wav,blues,6.0,"(128, 259)"
68,data\processed\audio\sample_0068.npy,blues.00017.wav,blues,7.5,"(128, 259)"
69,data\processed\audio\sample_0069.npy,blues.00017.wav,blues,9.0,"(128, 259)"
70,data\processed\audio\sample_0070.npy,blues.00017.wav,blues,10.5,"(128, 259)"
71,data\processed\audio\sample_0071.npy,blues.00017.wav,blues,12.0,"(128, 259)"
72,data\processed\audio\sample_0072.npy,blues.00013.wav,blues,0.0,"(128, 259)"
73,data\processed\audio\sample_0073.npy,blues.00013.wav,blues,1.5,"(128, 259)"
74,data\processed\audio\sample_0074.npy,blues.00013.wav,blues,3.0,"(128, 259)"
75,data\processed\audio\sample_0075.npy,blues.00013.wav,blues,4.5,"(128, 259)"
76,data\processed\audio\sample_0076.npy,blues.00013.wav,blues,6.0,"(128, 259)"
77,data\processed\audio\sample_0077.npy,blues.00013.wav,blues,7.5,"(128, 259)"
78,data\processed\audio\sample_0078.npy,blues.00013.wav,blues,9.0,"(128, 259)"
79,data\processed\audio\sample_0079.npy,blues.00013.wav,blues,10.5,"(128, 259)"
80,data\processed\audio\sample_0080.npy,blues.00013.wav,blues,12.0,"(128, 259)"
81,data\processed\audio\sample_0081.npy,blues.00086.wav,blues,0.0,"(128, 259)"
82,data\processed\audio\sample_0082.npy,blues.00086.wav,blues,1.5,"(128, 259)"
83,data\processed\audio\sample_0083.npy,blues.00086.wav,blues,3.0,"(128, 259)"
84,data\processed\audio\sample_0084.npy,blues.00086.wav,blues,4.5,"(128, 259)"
85,data\processed\audio\sample_0085.npy,blues.00086.wav,blues,6.0,"(128, 259)"
86,data\processed\audio\sample_0086.npy,blues.00086.wav,blues,7.5,"(128, 259)"
87,data\processed\audio\sample_0087.npy,blues.00086.wav,blues,9.0,"(128, 259)"
88,data\processed\audio\sample_0088.npy,blues.00086.wav,blues,10.5,"(128, 259)"
89,data\processed\audio\sample_0089.npy,blues.00086.wav,blues,12.0,"(128, 259)"
90,data\processed\audio\sample_0090.npy,blues.00069.wav,blues,0.0,"(128, 259)"
91,data\processed\audio\sample_0091.npy,blues.00069.wav,blues,1.5,"(128, 259)"
92,data\processed\audio\sample_0092.npy,blues.00069.wav,blues,3.0,"(128, 259)"
93,data\processed\audio\sample_0093.npy,blues.00069.wav,blues,4.5,"(128, 259)"
94,data\processed\audio\sample_0094.npy,blues.00069.wav,blues,6.0,"(128, 259)"
95,data\processed\audio\sample_0095.npy,blues.00069.wav,blues,7.5,"(128, 259)"
96,data\processed\audio\sample_0096.npy,blues.00069.wav,blues,9.0,"(128, 259)"
97,data\processed\audio\sample_0097.npy,blues.00069.wav,blues,10.5,"(128, 259)"
98,data\processed\audio\sample_0098.npy,blues.00069.wav,blues,12.0,"(128, 259)"
99,data\processed\audio\sample_0099.npy,blues.00011.wav,blues,0.0,"(128, 259)"
100,data\processed\audio\sample_0100.npy,blues.00011.wav,blues,1.5,"(128, 259)"
101,data\processed\audio\sample_0101.npy,blues.00011.wav,blues,3.0,"(128, 259)"
102,data\processed\audio\sample_0102.npy,blues.00011.wav,blues,4.5,"(128, 259)"
103,data\processed\audio\sample_0103.npy,blues.00011.wav,blues,6.0,"(128, 259)"
104,data\processed\audio\sample_0104.npy,blues.00011.wav,blues,7.5,"(128, 259)"
105,data\processed\audio\sample_0105.npy,blues.00011.wav,blues,9.0,"(128, 259)"
106,data\processed\audio\sample_0106.npy,blues.00011.wav,blues,10.5,"(128, 259)"
107,data\processed\audio\sample_0107.npy,blues.00011.wav,blues,12.0,"(128, 259)"
108,data\processed\audio\sample_0108.npy,blues.00075.wav,blues,0.0,"(128, 259)"
109,data\processed\audio\sample_0109.npy,blues.00075.wav,blues,1.5,"(128, 259)"
110,data\processed\audio\sample_0110.npy,blues.00075.wav,blues,3.0,"(128, 259)"
111,data\processed\audio\sample_0111.npy,blues.00075.wav,blues,4.5,"(128, 259)"
112,data\processed\audio\sample_0112.npy,blues.00075.wav,blues,6.0,"(128, 259)"
113,data\processed\audio\sample_0113.npy,blues.00075.wav,blues,7.5,"(128, 259)"
114,data\processed\audio\sample_0114.npy,blues.00075.wav,blues,9.0,"(128, 259)"
115,data\processed\audio\sample_0115.npy,blues.00075.wav,blues,10.5,"(128, 259)"
116,data\processed\audio\sample_0116.npy,blues.00075.wav,blues,12.0,"(128, 259)"
117,data\processed\audio\sample_0117.npy,blues.00054.wav,blues,0.0,"(128, 259)"
118,data\processed\audio\sample_0118.npy,blues.00054.wav,blues,1.5,"(128, 259)"
119,data\processed\audio\sample_0119.npy,blues.00054.wav,blues,3.0,"(128, 259)"
120,data\processed\audio\sample_0120.npy,blues.00054.wav,blues,4.5,"(128, 259)"
121,data\processed\audio\sample_0121.npy,blues.00054.wav,blues,6.0,"(128, 259)"
122,data\processed\audio\sample_0122.npy,blues.00054.wav,blues,7.5,"(128, 259)"
123,data\processed\audio\sample_0123.npy,blues.00054.wav,blues,9.0,"(128, 259)"
124,data\processed\audio\sample_0124.npy,blues.00054.wav,blues,10.5,"(128, 259)"
125,data\processed\audio\sample_0125.npy,blues.00054.wav,blues,12.0,"(128, 259)"
126,data\processed\audio\sample_0126.npy,blues.00004.wav,blues,0.0,"(128, 259)"
127,data\processed\audio\sample_0127.npy,blues.00004.wav,blues,1.5,"(128, 259)"
128,data\processed\audio\sample_0128.npy,blues.00004.wav,blues,3.0,"(128, 259)"
129,data\processed\audio\sample_0129.npy,blues.00004.wav,blues,4.5,"(128, 259)"
130,data\processed\audio\sample_0130.npy,blues.00004.wav,blues,6.0,"(128, 259)"
131,data\processed\audio\sample_0131.npy,blues.00004.wav,blues,7.5,"(128, 259)"
132,data\processed\audio\sample_0132.npy,blues.00004.wav,blues,9.0,"(128, 259)"
133,data\processed\audio\sample_0133.npy,blues.00004.wav,blues,10.5,"(128, 259)"
134,data\processed\audio\sample_0134.npy,blues.00004.wav,blues,12.0,"(128, 259)"
135,data\processed\audio\sample_0135.npy,blues.00097.wav,blues,0.0,"(128, 259)"
136,data\processed\audio\sample_0136.npy,blues.00097.wav,blues,1.5,"(128, 259)"
137,data\processed\audio\sample_0137.npy,blues.00097.wav,blues,3.0,"(128, 259)"
138,data\processed\audio\sample_0138.npy,blues.00097.wav,blues,4.5,"(128, 259)"
139,data\processed\audio\sample_0139.npy,blues.00097.wav,blues,6.0,"(128, 259)"
140,data\processed\audio\sample_0140.npy,blues.00097.wav,blues,7.5,"(128, 259)"
141,data\processed\audio\sample_0141.npy,blues.00097.wav,blues,9.0,"(128, 259)"
142,data\processed\audio\sample_0142.npy,blues.00097.wav,blues,10.5,"(128, 259)"
143,data\processed\audio\sample_0143.npy,blues.00097.wav,blues,12.0,"(128, 259)"
144,data\processed\audio\sample_0144.npy,blues.00088.wav,blues,0.0,"(128, 259)"
145,data\processed\audio\sample_0145.npy,blues.00088.wav,blues,1.5,"(128, 259)"
146,data\processed\audio\sample_0146.npy,blues.00088.wav,blues,3.0,"(128, 259)"
147,data\processed\audio\sample_0147.npy,blues.00088.wav,blues,4.5,"(128, 259)"
148,data\processed\audio\sample_0148.npy,blues.00088.wav,blues,6.0,"(128, 259)"
149,data\processed\audio\sample_0149.npy,blues.00088.wav,blues,7.5,"(128, 259)"
150,data\processed\audio\sample_0150.npy,blues.00088.wav,blues,9.0,"(128, 259)"
151,data\processed\audio\sample_0151.npy,blues.00088.wav,blues,10.5,"(128, 259)"
152,data\processed\audio\sample_0152.npy,blues.00088.wav,blues,12.0,"(128, 259)"
153,data\processed\audio\sample_0153.npy,blues.00027.wav,blues,0.0,"(128, 259)"
154,data\processed\audio\sample_0154.npy,blues.00027.wav,blues,1.5,"(128, 259)"
155,data\processed\audio\sample_0155.npy,blues.00027.wav,blues,3.0,"(128, 259)"
156,data\processed\audio\sample_0156.npy,blues.00027.wav,blues,4.5,"(128, 259)"
157,data\processed\audio\sample_0157.npy,blues.00027.wav,blues,6.0,"(128, 259)"
158,data\processed\audio\sample_0158.npy,blues.00027.wav,blues,7.5,"(128, 259)"
159,data\processed\audio\sample_0159.npy,blues.00027.wav,blues,9.0,"(128, 259)"
160,data\processed\audio\sample_0160.npy,blues.00027.wav,blues,10.5,"(128, 259)"
161,data\processed\audio\sample_0161.npy,blues.00027.wav,blues,12.0,"(128, 259)"
162,data\processed\audio\sample_0162.npy,blues.00029.wav,blues,0.0,"(128, 259)"
163,data\processed\audio\sample_0163.npy,blues.00029.wav,blues,1.5,"(128, 259)"
164,data\processed\audio\sample_0164.npy,blues.00029.wav,blues,3.0,"(128, 259)"
165,data\processed\audio\sample_0165.npy,blues.00029.wav,blues,4.5,"(128, 259)"
166,data\processed\audio\sample_0166.npy,blues.00029.wav,blues,6.0,"(128, 259)"
167,data\processed\audio\sample_0167.npy,blues.00029.wav,blues,7.5,"(128, 259)"
168,data\processed\audio\sample_0168.npy,blues.00029.wav,blues,9.0,"(128, 259)"
169,data\processed\audio\sample_0169.npy,blues.00029.wav,blues,10.5,"(128, 259)"
170,data\processed\audio\sample_0170.npy,blues.00029.wav,blues,12.0,"(128, 259)"
171,data\processed\audio\sample_0171.npy,blues.00064.wav,blues,0.0,"(128, 259)"
172,data\processed\audio\sample_0172.npy,blues.00064.wav,blues,1.5,"(128, 259)"
173,data\processed\audio\sample_0173.npy,blues.00064.wav,blues,3.0,"(128, 259)"
174,data\processed\audio\sample_0174.npy,blues.00064.wav,blues,4.5,"(128, 259)"
175,data\processed\audio\sample_0175.npy,blues.00064.wav,blues,6.0,"(128, 259)"
176,data\processed\audio\sample_0176.npy,blues.00064.wav,blues,7.5,"(128, 259)"
177,data\processed\audio\sample_0177.npy,blues.00064.wav,blues,9.0,"(128, 259)"
178,data\processed\audio\sample_0178.npy,blues.00064.wav,blues,10.5,"(128, 259)"
179,data\processed\audio\sample_0179.npy,blues.00064.wav,blues,12.0,"(128, 259)"
180,data\processed\audio\sample_0180.npy,blues.00077.wav,blues,0.0,"(128, 259)"
181,data\processed\audio\sample_0181.npy,blues.00077.wav,blues,1.5,"(128, 259)"
182,data\processed\audio\sample_0182.npy,blues.00077.wav,blues,3.0,"(128, 259)"
183,data\processed\audio\sample_0183.npy,blues.00077.wav,blues,4.5,"(128, 259)"
184,data\processed\audio\sample_0184.npy,blues.00077.wav,blues,6.0,"(128, 259)"
185,data\processed\audio\sample_0185.npy,blues.00077.wav,blues,7.5,"(128, 259)"
186,data\processed\audio\sample_0186.npy,blues.00077.wav,blues,9.0,"(128, 259)"
187,data\processed\audio\sample_0187.npy,blues.00077.wav,blues,10.5,"(128, 259)"
188,data\processed\audio\sample_0188.npy,blues.00077.wav,blues,12.0,"(128, 259)"
189,data\processed\audio\sample_0189.npy,blues.00084.wav,blues,0.0,"(128, 259)"
190,data\processed\audio\sample_0190.npy,blues.00084.wav,blues,1.5,"(128, 259)"
191,data\processed\audio\sample_0191.npy,blues.00084.wav,blues,3.0,"(128, 259)"
192,data\processed\audio\sample_0192.npy,blues.00084.wav,blues,4.5,"(128, 259)"
193,data\processed\audio\sample_0193.npy,blues.00084.wav,blues,6.0,"(128, 259)"
194,data\processed\audio\sample_0194.npy,blues.00084.wav,blues,7.5,"(128, 259)"
195,data\processed\audio\sample_0195.npy,blues.00084.wav,blues,9.0,"(128, 259)"
196,data\processed\audio\sample_0196.npy,blues.00084.wav,blues,10.5,"(128, 259)"
197,data\processed\audio\sample_0197.npy,blues.00084.wav,blues,12.0,"(128, 259)"
198,data\processed\audio\sample_0198.npy,blues.00071.wav,blues,0.0,"(128, 259)"
199,data\processed\audio\sample_0199.npy,blues.00071.wav,blues,1.5,"(128, 259)"
200,data\processed\audio\sample_0200.npy,blues.00071.wav,blues,3.0,"(128, 259)"
201,data\processed\audio\sample_0201.npy,blues.00071.wav,blues,4.5,"(128, 259)"
202,data\processed\audio\sample_0202.npy,blues.00071.wav,blues,6.0,"(128, 259)"
203,data\processed\audio\sample_0203.npy,blues.00071.wav,blues,7.5,"(128, 259)"
204,data\processed\audio\sample_0204.npy,blues.00071.wav,blues,9.0,"(128, 259)"
205,data\processed\audio\sample_0205.npy,blues.00071.wav,blues,10.5,"(128, 259)"
206,data\processed\audio\sample_0206.npy,blues.00071.wav,blues,12.0,"(128, 259)"
207,data\processed\audio\sample_0207.npy,blues.00025.wav,blues,0.0,"(128, 259)"
208,data\processed\audio\sample_0208.npy,blues.00025.wav,blues,1.5,"(128, 259)"
209,data\processed\audio\sample_0209.npy,blues.00025.wav,blues,3.0,"(128, 259)"
210,data\processed\audio\sample_0210.npy,blues.00025.wav,blues,4.5,"(128, 259)"
211,data\processed\audio\sample_0211.npy,blues.00025.wav,blues,6.0,"(128, 259)"
212,data\processed\audio\sample_0212.npy,blues.00025.wav,blues,7.5,"(128, 259)"
213,data\processed\audio\sample_0213.npy,blues.00025.wav,blues,9.0,"(128, 259)"
214,data\processed\audio\sample_0214.npy,blues.00025.wav,blues,10.5,"(128, 259)"
215,data\processed\audio\sample_0215.npy,blues.00025.wav,blues,12.0,"(128, 259)"
216,data\processed\audio\sample_0216.npy,blues.00089.wav,blues,0.0,"(128, 259)"
217,data\processed\audio\sample_0217.npy,blues.00089.wav,blues,1.5,"(128, 259)"
218,data\processed\audio\sample_0218.npy,blues.00089.wav,blues,3.0,"(128, 259)"
219,data\processed\audio\sample_0219.npy,blues.00089.wav,blues,4.5,"(128, 259)"
220,data\processed\audio\sample_0220.npy,blues.00089.wav,blues,6.0,"(128, 259)"
221,data\processed\audio\sample_0221.npy,blues.00089.wav,blues,7.5,"(128, 259)"
222,data\processed\audio\sample_0222.npy,blues.00089.wav,blues,9.0,"(128, 259)"
223,data\processed\audio\sample_0223.npy,blues.00089.wav,blues,10.5,"(128, 259)"
224,data\processed\audio\sample_0224.npy,blues.00089.wav,blues,12.0,"(128, 259)"
225,data\processed\audio\sample_0225.npy,blues.00053.wav,blues,0.0,"(128, 259)"
226,data\processed\audio\sample_0226.npy,blues.00053.wav,blues,1.5,"(128, 259)"
227,data\processed\audio\sample_0227.npy,blues.00053.wav,blues,3.0,"(128, 259)"
228,data\processed\audio\sample_0228.npy,blues.00053.wav,blues,4.5,"(128, 259)"
229,data\processed\audio\sample_0229.npy,blues.00053.wav,blues,6.0,"(128, 259)"
230,data\processed\audio\sample_0230.npy,blues.00053.wav,blues,7.5,"(128, 259)"
231,data\processed\audio\sample_0231.npy,blues.00053.wav,blues,9.0,"(128, 259)"
232,data\processed\audio\sample_0232.npy,blues.00053.wav,blues,10.5,"(128, 259)"
233,data\processed\audio\sample_0233.npy,blues.00053.wav,blues,12.0,"(128, 259)"
234,data\processed\audio\sample_0234.npy,blues.00093.wav,blues,0.0,"(128, 259)"
235,data\processed\audio\sample_0235.npy,blues.00093.wav,blues,1.5,"(128, 259)"
236,data\processed\audio\sample_0236.npy,blues.00093.wav,blues,3.0,"(128, 259)"
237,data\processed\audio\sample_0237.npy,blues.00093.wav,blues,4.5,"(128, 259)"
238,data\processed\audio\sample_0238.npy,blues.00093.wav,blues,6.0,"(128, 259)"
239,data\processed\audio\sample_0239.npy,blues.00093.wav,blues,7.5,"(128, 259)"
240,data\processed\audio\sample_0240.npy,blues.00093.wav,blues,9.0,"(128, 259)"
241,data\processed\audio\sample_0241.npy,blues.00093.wav,blues,10.5,"(128, 259)"
242,data\processed\audio\sample_0242.npy,blues.00093.wav,blues,12.0,"(128, 259)"
243,data\processed\audio\sample_0243.npy,blues.00057.wav,blues,0.0,"(128, 259)"
244,data\processed\audio\sample_0244.npy,blues.00057.wav,blues,1.5,"(128, 259)"
245,data\processed\audio\sample_0245.npy,blues.00057.wav,blues,3.0,"(128, 259)"
246,data\processed\audio\sample_0246.npy,blues.00057.wav,blues,4.5,"(128, 259)"
247,data\processed\audio\sample_0247.npy,blues.00057.wav,blues,6.0,"(128, 259)"
248,data\processed\audio\sample_0248.npy,blues.00057.wav,blues,7.5,"(128, 259)"
249,data\processed\audio\sample_0249.npy,blues.00057.wav,blues,9.0,"(128, 259)"
250,data\processed\audio\sample_0250.npy,blues.00057.wav,blues,10.5,"(128, 259)"
251,data\processed\audio\sample_0251.npy,blues.00057.wav,blues,12.0,"(128, 259)"
252,data\processed\audio\sample_0252.npy,blues.00095.wav,blues,0.0,"(128, 259)"
253,data\processed\audio\sample_0253.npy,blues.00095.wav,blues,1.5,"(128, 259)"
254,data\processed\audio\sample_0254.npy,blues.00095.wav,blues,3.0,"(128, 259)"
255,data\processed\audio\sample_0255.npy,blues.00095.wav,blues,4.5,"(128, 259)"
256,data\processed\audio\sample_0256.npy,blues.00095.wav,blues,6.0,"(128, 259)"
257,data\processed\audio\sample_0257.npy,blues.00095.wav,blues,7.5,"(128, 259)"
258,data\processed\audio\sample_0258.npy,blues.00095.wav,blues,9.0,"(128, 259)"
259,data\processed\audio\sample_0259.npy,blues.00095.wav,blues,10.5,"(128, 259)"
260,data\processed\audio\sample_0260.npy,blues.00095.wav,blues,12.0,"(128, 259)"
261,data\processed\audio\sample_0261.npy,blues.00000.wav,blues,0.0,"(128, 259)"
262,data\processed\audio\sample_0262.npy,blues.00000.wav,blues,1.5,"(128, 259)"
263,data\processed\audio\sample_0263.npy,blues.00000.wav,blues,3.0,"(128, 259)"
264,data\processed\audio\sample_0264.npy,blues.00000.wav,blues,4.5,"(128, 259)"
265,data\processed\audio\sample_0265.npy,blues.00000.wav,blues,6.0,"(128, 259)"
266,data\processed\audio\sample_0266.npy,blues.00000.wav,blues,7.5,"(128, 259)"
267,data\processed\audio\sample_0267.npy,blues.00000.wav,blues,9.0,"(128, 259)"
268,data\processed\audio\sample_0268.npy,blues.00000.wav,blues,10.5,"(128, 259)"
269,data\processed\audio\sample_0269.npy,blues.00000.wav,blues,12.0,"(128, 259)"
270,data\processed\audio\sample_0270.npy,classical.00097.wav,classical,0.0,"(128, 259)"
271,data\processed\audio\sample_0271.npy,classical.00097.wav,classical,1.5,"(128, 259)"
272,data\processed\audio\sample_0272.npy,classical.00097.wav,classical,3.0,"(128, 259)"
273,data\processed\audio\sample_0273.npy,classical.00097.wav,classical,4.5,"(128, 259)"
274,data\processed\audio\sample_0274.npy,classical.00097.wav,classical,6.0,"(128, 259)"
275,data\processed\audio\sample_0275.npy,classical.00097.wav,classical,7.5,"(128, 259)"
276,data\processed\audio\sample_0276.npy,classical.00097.wav,classical,9.0,"(128, 259)"
277,data\processed\audio\sample_0277.npy,classical.00097.wav,classical,10.5,"(128, 259)"
278,data\processed\audio\sample_0278.npy,classical.00097.wav,classical,12.0,"(128, 259)"
279,data\processed\audio\sample_0279.npy,classical.00020.wav,classical,0.0,"(128, 259)"
280,data\processed\audio\sample_0280.npy,classical.00020.wav,classical,1.5,"(128, 259)"
281,data\processed\audio\sample_0281.npy,classical.00020.wav,classical,3.0,"(128, 259)"
282,data\processed\audio\sample_0282.npy,classical.00020.wav,classical,4.5,"(128, 259)"
283,data\processed\audio\sample_0283.npy,classical.00020.wav,classical,6.0,"(128, 259)"
284,data\processed\audio\sample_0284.npy,classical.00020.wav,classical,7.5,"(128, 259)"
285,data\processed\audio\sample_0285.npy,classical.00020.wav,classical,9.0,"(128, 259)"
286,data\processed\audio\sample_0286.npy,classical.00020.wav,classical,10.5,"(128, 259)"
287,data\processed\audio\sample_0287.npy,classical.00020.wav,classical,12.0,"(128, 259)"
288,data\processed\audio\sample_0288.npy,classical.00089.wav,classical,0.0,"(128, 259)"
289,data\processed\audio\sample_0289.npy,classical.00089.wav,classical,1.5,"(128, 259)"
290,data\processed\audio\sample_0290.npy,classical.00089.wav,classical,3.0,"(128, 259)"
291,data\processed\audio\sample_0291.npy,classical.00089.wav,classical,4.5,"(128, 259)"
292,data\processed\audio\sample_0292.npy,classical.00089.wav,classical,6.0,"(128, 259)"
293,data\processed\audio\sample_0293.npy,classical.00089.wav,classical,7.5,"(128, 259)"
294,data\processed\audio\sample_0294.npy,classical.00089.wav,classical,9.0,"(128, 259)"
295,data\processed\audio\sample_0295.npy,classical.00089.wav,classical,10.5,"(128, 259)"
296,data\processed\audio\sample_0296.npy,classical.00089.wav,classical,12.0,"(128, 259)"
297,data\processed\audio\sample_0297.npy,classical.00054.wav,classical,0.0,"(128, 259)"
298,data\processed\audio\sample_0298.npy,classical.00054.wav,classical,1.5,"(128, 259)"
299,data\processed\audio\sample_0299.npy,classical.00054.wav,classical,3.0,"(128, 259)"
300,data\processed\audio\sample_0300.npy,classical.00054.wav,classical,4.5,"(128, 259)"
301,data\processed\audio\sample_0301.npy,classical.00054.wav,classical,6.0,"(128, 259)"
302,data\processed\audio\sample_0302.npy,classical.00054.wav,classical,7.5,"(128, 259)"
303,data\processed\audio\sample_0303.npy,classical.00054.wav,classical,9.0,"(128, 259)"
304,data\processed\audio\sample_0304.npy,classical.00054.wav,classical,10.5,"(128, 259)"
305,data\processed\audio\sample_0305.npy,classical.00054.wav,classical,12.0,"(128, 259)"
306,data\processed\audio\sample_0306.npy,classical.00043.wav,classical,0.0,"(128, 259)"
307,data\processed\audio\sample_0307.npy,classical.00043.wav,classical,1.5,"(128, 259)"
308,data\processed\audio\sample_0308.npy,classical.00043.wav,classical,3.0,"(128, 259)"
309,data\processed\audio\sample_0309.npy,classical.00043.wav,classical,4.5,"(128, 259)"
310,data\processed\audio\sample_0310.npy,classical.00043.wav,classical,6.0,"(128, 259)"
311,data\processed\audio\sample_0311.npy,classical.00043.wav,classical,7.5,"(128, 259)"
312,data\processed\audio\sample_0312.npy,classical.00043.wav,classical,9.0,"(128, 259)"
313,data\processed\audio\sample_0313.npy,classical.00043.wav,classical,10.5,"(128, 259)"
314,data\processed\audio\sample_0314.npy,classical.00043.wav,classical,12.0,"(128, 259)"
315,data\processed\audio\sample_0315.npy,classical.00035.wav,classical,0.0,"(128, 259)"
316,data\processed\audio\sample_0316.npy,classical.00035.wav,classical,1.5,"(128, 259)"
